id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
77765,417504,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,308,2,42,30,217,4
2539,2787,Brooklyn,Kensington,40.64529,-73.97238,Private room,299,30,9,9,356,0
45910,204539,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,425,30,13,6,365,0
45935,204586,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,1,83,0
45936,867225,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,75,31,135,1,219,4
80493,434987,Manhattan,East Village,40.72322,-73.98615,Private room,55,2,207,1,132,9
46911,210746,Brooklyn,Prospect Heights,40.68022,-73.97457,Private room,123,3,65,3,319,9
49048,35935,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,90,30,23,5,249,2
2595,2845,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,175,30,49,3,280,1
5121,7356,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,2,335,0
5136,7378,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,21,3,1,179,1
80684,417504,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,529,2,10,30,100,2
80700,417504,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,372,2,9,30,222,2
80924,438133,Brooklyn,Park Slope,40.67407,-73.98105,Entire home/apt,160,30,37,2,37,0
81739,417504,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,372,2,2,30,222,0
82638,449787,Manhattan,East Village,40.72408,-73.98154,Entire home/apt,169,30,276,1,344,3
5178,8967,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,550,1,160,56
82928,451545,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,150,30,76,1,127,3
5203,7490,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,1,0,0
5803,9744,Brooklyn,South Slope,40.66801,-73.98784,Private room,118,4,216,3,299,22
6848,15991,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,84,30,185,1,274,4
50447,9744,Brooklyn,Gowanus,40.66913,-73.99041,Entire home/apt,158,5,223,3,276,30
83243,453519,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,77,30,253,1,311,3
51438,236421,Manhattan,Upper East Side,40.77449,-73.95308,Private room,130,14,0,2,0,0
84010,417504,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,308,2,22,30,221,6
89621,209460,Brooklyn,Crown Heights,40.67823,-73.94719,Entire home/apt,138,30,240,3,264,2
52689,244071,Queens,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,140,4,38,1,173,30
53469,204539,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,130,30,33,6,365,0
53470,204539,Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,193,30,6,6,365,0
53477,204539,Queens,Middle Village,40.71778,-73.87714,Entire home/apt,350,30,16,6,365,0
6872,16104,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,1,2,211,1
6990,16800,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,239,1,278,5
93313,25183,Brooklyn,Bedford-Stuyvesant,40.68413,-73.93817,Entire home/apt,145,2,136,2,300,29
7064,17297,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,95,7,11,2,24,2
7097,17571,Brooklyn,Fort Greene,40.691233,-73.972702,Entire home/apt,207,2,303,2,19,36
94209,503800,Brooklyn,Crown Heights,40.67654,-73.94629,Entire home/apt,102,1,38,1,73,27
7801,21207,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,395,30,9,1,342,0
8490,25183,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,150,2,154,2,297,19
54466,253385,Manhattan,Harlem,40.80255,-73.95803,Private room,200,30,0,1,365,0
54508,210746,Brooklyn,Park Slope,40.67908,-73.97405,Private room,80,2,135,3,328,27
94783,473113,Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,140,6,137,1,298,20
54694,27848,Queens,Jamaica,40.67144,-73.76501,Private room,65,30,62,4,0,0
9357,30193,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,1,0,0
95883,509918,Brooklyn,Bedford-Stuyvesant,40.69304,-73.95417,Entire home/apt,250,6,7,1,0,1
9704,32045,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,1,191,0
10183,34866,Manhattan,Harlem,40.81312,-73.95332,Private room,75,5,6,1,42,0
10452,35935,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,82,30,81,5,233,5
10962,9744,Brooklyn,South Slope,40.66692,-73.98981,Private room,118,4,208,3,326,17
54860,258164,Manhattan,East Harlem,40.79934,-73.94236,Private room,115,5,267,1,237,29
96471,116599,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,171,30,13,2,364,0
55587,131716,Brooklyn,Williamsburg,40.71311,-73.9506,Entire home/apt,235,3,20,1,54,9
11943,45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,30,0,1,0,0
98663,520279,Manhattan,Chelsea,40.75077,-73.99657,Entire home/apt,150,30,19,1,280,0
12192,46978,Manhattan,East Village,40.72296,-73.98383,Private room,80,7,282,2,33,17
12937,50124,Queens,Long Island City,40.74757,-73.94571,Private room,145,3,335,1,86,37
100186,526805,Brooklyn,Gowanus,40.66952,-73.99201,Entire home/apt,130,30,114,1,49,7
12940,50148,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,119,30,73,1,1,1
55959,168525,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,150,5,94,2,22,1
100368,526105,Manhattan,Chelsea,40.74056,-74.00143,Entire home/apt,288,30,35,1,303,0
55982,264928,Brooklyn,Fort Greene,40.68701,-73.97555,Private room,85,3,40,1,0,3
56859,256161,Manhattan,Harlem,40.81201,-73.94452,Private room,74,3,239,2,27,26
13808,54275,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,84,1,169,3,253,15
101053,530032,Brooklyn,Williamsburg,40.71116,-73.95484,Private room,175,60,38,1,0,0
14290,56104,Brooklyn,Williamsburg,40.70348,-73.93621,Entire home/apt,245,1,148,1,121,36
14314,56246,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,1,98,0
